first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,agent_type,PCE_unit,demand_period,volume,toll,travel_time,distance_km,node_sequence,time_sequence
,0,1,2,0,sov,sov,1,AM,1,0.0,10.8500,18.6107,3;4;5;6;7;8;9;10;11;12;,361.208344;362.383331;363.508331;364.795837;365.970825;367.250000;368.308319;369.308319;370.237488;370.850006;
,1,1,2,0,sov,sov,1,AM,1,0.0,10.8660,18.6107,3;4;5;6;7;8;9;10;11;12;,361.216675;362.399994;363.524994;364.812500;365.987488;367.266663;368.325012;369.325012;370.254181;370.866669;
,2,1,2,0,sov,sov,1,AM,1,0.0,10.8819,18.6107,3;4;5;6;7;8;9;10;11;12;,361.216675;362.416656;363.541656;364.829163;366.004181;367.283325;368.341675;369.341675;370.270844;370.883331;
,3,1,2,0,sov,sov,1,AM,1,0.0,10.8979,18.6107,3;4;5;6;7;8;9;10;11;12;,361.233337;362.433319;363.558319;364.845825;366.020844;367.299988;368.358337;369.358337;370.287506;370.899994;
,4,1,2,0,sov,sov,1,AM,1,0.0,10.9139,18.6107,3;4;5;6;7;8;9;10;11;12;,361.250000;362.433319;363.558319;364.845825;366.033325;367.312500;368.370819;369.370819;370.299988;370.912506;
,5,1,2,0,sov,sov,1,AM,1,0.0,10.9257,18.6107,3;4;5;6;7;8;9;10;11;12;,361.266663;362.450012;363.575012;364.862488;366.037506;367.316681;368.383331;369.383331;370.316681;370.929169;
,6,1,2,0,sov,sov,1,AM,1,0.0,11.0417,18.6107,3;4;5;6;7;8;9;10;11;12;,361.366669;362.541656;363.666656;364.954163;366.133331;367.412506;368.470825;369.500000;370.433319;371.045837;
,7,1,2,0,sov,sov,1,AM,1,0.0,11.0576,18.6107,3;4;5;6;7;8;9;10;11;12;,361.366669;362.549988;363.683319;364.970825;366.149994;367.429169;368.487488;369.516663;370.450012;371.062500;
,8,1,2,0,sov,sov,1,AM,1,0.0,11.0736,18.6107,3;4;5;6;7;8;9;10;11;12;,361.383331;362.558319;363.683319;364.970825;366.149994;367.429169;368.500000;369.533325;370.466675;371.079163;
,9,1,2,0,sov,sov,1,AM,1,0.0,11.0896,18.6107,3;4;5;6;7;8;9;10;11;12;,361.399994;362.575012;363.700012;364.987488;366.166656;367.445831;368.516663;369.549988;370.483337;371.095825;
,10,1,2,0,sov,sov,1,AM,1,0.0,11.1056,18.6107,3;4;5;6;7;8;9;10;11;12;,361.399994;362.583344;363.716675;365.004181;366.183319;367.462494;368.520844;369.566681;370.500000;371.112488;
,11,1,2,0,sov,sov,1,AM,1,0.0,11.1215,18.6107,3;4;5;6;7;8;9;10;11;12;,361.416656;362.591675;363.716675;365.004181;366.200012;367.479156;368.537506;369.583344;370.516663;371.129181;
,12,1,2,0,sov,sov,1,AM,1,0.0,11.2375,18.6107,3;4;5;6;7;8;9;10;11;12;,361.483337;362.666656;363.799988;365.087494;366.283325;367.566681;368.625000;369.700012;370.633331;371.245819;
,13,1,2,0,sov,sov,1,AM,1,0.0,11.2535,18.6107,3;4;5;6;7;8;9;10;11;12;,361.500000;362.683319;363.816681;365.104156;366.283325;367.566681;368.633331;369.716675;370.649994;371.262512;
,14,1,2,0,sov,sov,1,AM,1,0.0,11.2694,18.6107,3;4;5;6;7;8;9;10;11;12;,361.516663;362.691681;363.833344;365.120819;366.299988;367.583344;368.641663;369.733337;370.666656;371.279175;
,15,1,2,0,sov,sov,1,AM,1,0.0,11.2854,18.6107,3;4;5;6;7;8;9;10;11;12;,361.516663;362.700012;363.850006;365.137512;366.316681;367.595825;368.654175;369.750000;370.683319;371.295837;
,16,1,2,0,sov,sov,1,AM,1,0.0,11.3014,18.6107,3;4;5;6;7;8;9;10;11;12;,361.533325;362.716675;363.850006;365.149994;366.333344;367.612488;368.670837;369.766663;370.700012;371.312500;
,17,1,2,0,sov,sov,1,AM,1,0.0,11.3174,18.6107,3;4;5;6;7;8;9;10;11;12;,361.533325;362.733337;363.866669;365.166656;366.341675;367.620819;368.683319;369.783325;370.716675;371.329163;
,18,1,2,0,sov,sov,1,AM,1,0.0,11.4333,18.6107,3;4;5;6;7;8;9;10;11;12;,361.600006;362.816681;363.941681;365.250000;366.433319;367.712494;368.770844;369.899994;370.833344;371.445831;
,19,1,2,0,sov,sov,1,AM,1,0.0,11.4493,18.6107,3;4;5;6;7;8;9;10;11;12;,361.616669;362.833344;363.958344;365.266663;366.441681;367.720825;368.783325;369.916656;370.850006;371.462494;
,20,1,2,0,sov,sov,1,AM,1,0.0,11.4653,18.6107,3;4;5;6;7;8;9;10;11;12;,361.633331;362.833344;363.958344;365.283325;366.458344;367.737488;368.795837;369.933319;370.866669;371.479156;
,21,1,2,0,sov,sov,1,AM,1,0.0,11.4812,18.6107,3;4;5;6;7;8;9;10;11;12;,361.649994;362.850006;363.975006;365.283325;366.458344;367.750000;368.808319;369.950012;370.883331;371.495819;
,22,1,2,0,sov,sov,1,AM,1,0.0,11.4972,18.6107,3;4;5;6;7;8;9;10;11;12;,361.649994;362.866669;363.991669;365.299988;366.475006;367.754181;368.816681;369.966675;370.899994;371.512512;
